variant,condition,n,success_rate,collision_rate,timeout_rate,per_mean,steps_mean,replans_mean,heals_mean,llm_calls_mean,tokens_mean,wall_ms_mean
agent_full,dynamic_high,20,0.0,0.85,0.15,0.0,8.25,1.65,1.65,3.85,2608.7,6991.340881249926
agent_full,dynamic_low,20,0.45,0.5,0.05,1.0730994152046784,33.15,0.7,0.7,6.15,3836.55,11480.952895749942
agent_full,static,20,0.95,0.0,0.05,1.0,36.15,0.0,0.0,1.95,804.75,2772.2275187494233
agent_noreflection,dynamic_high,20,0.0,0.85,0.15,0.0,8.65,0.8,0.8,1.95,1507.05,3522.0115373987937
agent_noreflection,dynamic_low,20,0.4,0.55,0.05,1.0592105263157896,34.85,0.05,0.05,7.1,4990.5,13672.895787451125
agent_noreflection,static,20,0.95,0.0,0.05,1.0,36.15,0.0,0.0,0.95,481.75,1304.8739792495326
astar,dynamic_high,20,0.0,1.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,1.6665916497004218
astar,dynamic_low,20,0.1,0.9,0.0,1.131578947368421,30.6,0.0,0.0,0.0,0.0,1.767216751613887
astar,static,20,0.95,0.0,0.05,1.0,41.8,0.0,0.0,0.0,0.0,0.6564752009580843
dstar_lite,dynamic_high,20,0.0,1.0,0.0,0.0,8.5,1.15,0.0,0.0,0.0,13.558677150285803
dstar_lite,dynamic_low,20,0.5,0.5,0.0,1.0421052631578946,32.75,2.8,0.0,0.0,0.0,14.67967289936496
dstar_lite,static,20,0.95,0.0,0.05,1.0,41.8,5.7,0.0,0.0,0.0,5.081610399065539
