variant,condition,n,success_rate,collision_rate,timeout_rate,per_mean,steps_mean,replans_mean,heals_mean,llm_calls_mean,tokens_mean,wall_ms_mean
agent_full,dynamic_high,50,0.0,1.0,0.0,0.0,9.0,3.04,2.88,5.18,4118.1,9761.825884239224
agent_full,dynamic_low,50,0.38,0.58,0.04,1.182825484764543,31.68,3.2,2.8,9.88,7339.5,18920.14065596013
agent_full,static,50,0.96,0.0,0.04,1.0,36.8,2.86,2.58,4.54,2328.74,8301.958144261152
agent_noreflection,dynamic_high,50,0.0,1.0,0.0,0.0,10.48,3.04,2.88,4.28,3782.5,7651.136123260076
agent_noreflection,dynamic_low,50,0.36,0.58,0.06,1.2076023391812865,28.84,2.84,2.3,8.4,6431.2,18000.42727504042
agent_noreflection,static,50,0.96,0.0,0.04,1.0,36.8,0.28,0.0,0.96,494.16,1444.870022519317
astar,dynamic_high,50,0.0,1.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,1.6881141799967736
astar,dynamic_low,50,0.2,0.78,0.02,1.1289473684210525,28.32,0.0,0.0,0.0,0.0,2.0598482992500067
astar,static,50,0.96,0.0,0.04,1.0,41.04,0.0,0.0,0.0,0.0,0.6262141600018367
dstar_lite,dynamic_high,50,0.06,0.94,0.0,1.105263157894737,12.96,1.84,0.0,0.0,0.0,18.099374220473692
dstar_lite,dynamic_low,50,0.48,0.52,0.0,1.030701754385965,29.12,2.26,0.0,0.0,0.0,12.883646719856188
dstar_lite,static,50,0.96,0.0,0.04,1.0,41.04,4.56,0.0,0.0,0.0,5.037652560858987
